No,Kegunaan,Bahan,Cara pengolahan,Cara penggunaan,Sumber,Gambar,Referensi gambar 
1,Obat bayi cacingan,"Bunga mengkudu (Morinda citrifolia) 8 biji, Bawang putih (Allium sativum) 8 buah, Jangu (Acorus calamus Linn) 8 iris","Direndang (dinyahnyah), campur, giling halus, dibulatkan jadi 7 butir, jemur hingga kering",Diminum 1 biji setiap 3 hari,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
2,"Obat badan sakit berdenyut, menusuk, lumpuh","Tangkai bunga cengkeh (Syzygium aromaticum), Mesui(Cryptocarya massoy), Garam uku (garam tradsional bali)","Digiling, disaring",Minum ,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
3,Obat ambeien,"Gaganan kacemcem (Spondias pinnata (L.f.) Kurz), Asam(Tamarindus indica L) yang telah dimasak, Kunir (Curcuma longa) yang kemerahan, Bawang merah (Allium ascalonicum), Ketumbar (Coriandrum sativum), Garam (Natrium klorida)",Dimasak hingga matang,Dioleskan pada perut,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
4,Obat mata merah,"Sampar watu dibakar(Sindora sumatrana Miq), Anak pisang saba  (Musa acuminata × Musa balbisiana ), ","Bakar dalam abu panas, peras",Gunakan untuk cuci mata,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
5,Obat mata berair dan terasa bengkak,"Asem yang telah dimasak (amarindus indica), Masui (Cryptocarya massoy (Oken) Kosterm), Sumanggi (Marsilea crenata Presl), Garam uku, Air cendana(Santalum album)",Digiling dengan air cendana,Tetesi matanya,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
6,Obat luka gatal di sela jari,"Daun delima(Punica granatum), Sejumput beras (Oryza sativa)","Digiling, di campur air hangat",Diparemkan,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
7,Obat dipatuk ular,"Akar paspasan ( Coccinia cordifolia Gogn ) , Adas (Foeniculum vulgare), Air cucian beras",Adas dan akar paspasan di giling lalu di campur air cucian beras,Disemirkan pada lokasi gigitan,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
8,Obat panu,Lengkuas (Alpinia galanga),Dipotong,Dioles di kulit yang terjangkit,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
9,"Obat meningkatkan imunitas, mengatasi masalah pencernaan","Kunyit (Curcuma longa), Gula aren (Arenga saccharifera)","Diparut, dicampur ke air, saring ",Minum airnya,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
10,Sakit dan kaku dibahu,"Temutis(Curcuma purpurascens Bl. syn. C. soloensis Val.) , Buah sirih (Piper betle) , Ginten hitam(Nigella sativa Linn)",Parem,Dipakai parem,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
11,Obat antibakteri,Melati putih (Jasminum sambac),Rendam di air hangat,Kompres dengan air tersebut,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
12,Obat Meredakan flu,"Beras, Kencur (kaempferia galanga), Gula aren (Arenga saccharifera)","Ditumbuk, rebus, dan disaring",Diminum hangat 100 ml,Usada - Bali,,https://docs.google.com/document/d/1e4bqPcnku7AfTCbdIgqGChumywTNuvUJ/edit?usp=sharing&ouid=107390156108731673355&rtpof=true&sd=true
